"id","question","difficulty","possible_answers","correct_answer","url"
"12","Šta ste još uspeli da prikupite sa deponije, ima li vrednijeg otpada?","less","[""Ima, ima... Šta ima gospođo, nema ništa"", ""Ima dosta vrednih stvari"", ""Ima pacovi, 3kg komad kao zec"", ""Ima da se nađe ponešto i za nas""]","Ima, ima... Šta ima gospođo, nema ništa","https://www.youtube.com/watch?v=ZMHejWCrHgA"
"13","Koliko se čekalo na asfaltiranje ulice Labuda Đukića","less","[""64 godine"", ""45 godine"", ""300 godine"", ""Još se čeka na asfaltiranje""]","300 godine","https://www.youtube.com/watch?v=jx5pMDwm6As"
"14","Kada se rodila ova stranka?","less","[""U ognju najgorih tendencija koje su eskalirale"", ""U svečarskom trenutku"", ""Na samom početku svog postojanja"", ""Na Uskrs""]","U ognju najgorih tendencija koje su eskalirale","https://www.youtube.com/watch?v=lCZERWWyiNo"
"15","U staro vreme majstori su tukli šegrte, jel to slučaj i u ovoj radionici?","more","[""Pa, niiije"", ""Koga majstor da udari?"", ""Ako nešto zajebeš, valja malo rukom zavrat"", ""Bije čekičom, ko nekad""]","Ako nešto zajebeš, valja malo, rukom zavrat","https://www.youtube.com/watch?v=Gxq79818ByQ"
"16","Je l se desi nekad da Milkica zakaže, zataji?","more","[""Naša Milkica je cveće"", ""Kod Milkice nema da nema, samo može da nestane"", ""Naša Milkica nikad nije zatajila"", ""Milkica nam nikad ne  kuva kafu""]","Kod Milkice nema da nema, samo može da nestane","https://www.youtube.com/watch?v=Gxq79818ByQ"
"17","Je l imate problema sa pacovima??","less","[""Tu ima pacovi, otprilike 2 kile komad kao zec"", ""Kako ne, ulaze ukuću"", ""Nema ni kalizacija, a tamo puno je voda, svi će da poginemo u vodu"", ""Nema ništa""]","Tu ima pacovi, otprilike 2 kile komad kao zec","https://www.youtube.com/watch?v=A6vuTqODfa8"
"18","Ja nesum nigde radio. -Pa kako ste penzioner onda?","less","[""Pa ja sam penzioner, neki veliki drmr"", ""Radio sam u elektronsku industriju"", ""Isterali su me"", ""Ja sam polupoljoprivrednik""]","Pa ja sam penzioner, neki veliki drmr","https://www.youtube.com/watch?v=A6vuTqODfa8"
"19","Što bi naglasio da, propaganda, što većina kažu, da ovome..","less","[""Nije istina"", ""Jeste istina"", ""Istina boli"", ""Nije baš sasvim posebno tačno""]","Nije istina","https://www.youtube.com/watch?v=fHABw4GO9X4"
"20","Kako vam se sviđa novogodišnja rasveta u gradu?","less","[""Prvo pitanje je veoma čudnovato"", ""Ne sviđa mi se rasveta"", ""Dobro, vrlo prijatno"", ""Najveše me se sviđa novogodišnja rasveta u gradu""]","Prvo pitanje je veoma čudnovato","https://www.youtube.com/watch?v=JQXuVYohhK8"
"21","Da li razgovarate sami sa sobom?","more","[""Može, nema problema"", ""Ponekad popričam malo"", ""Ne razgovaram sa celu familiju, a ni sa sebe"", ""U poslednje vreme sam u čorsokaku""]","Može, nema problema","https://www.youtube.com/watch?v=lbhAypQ573U"
"22","Verujete li da se snovi ostvaruju?","more","[""Apsolutno. Volim. Kako da ne"", ""Svi moji snovi se ostvaruju"", ""Ne volim nikako, nemojte mene"", ""Mi verujemo u snove, pogotovo u one koji se ostvare""]","Apsolutno. Volim. Kako da ne","https://www.youtube.com/watch?v=k4HdaLth4UA"
"23","Verujete li u horoskop?","less","[""Mi? Mi verujemo u horoskop, pogotovo u ribe.. i u lepote i ženske potočarke"", ""Apsolutno. Volim."", ""Najviše mi se sviđa zodijak"", ""Ne vjerujem ti ja druže više ni u šta""]","Mi? Mi verujemo u horoskop, pogotovo u ribe.. i u lepote i ženske potočarke","https://www.youtube.com/watch?v=ONAOaB7iVmU"
"24","Devojčica je pesmu ""Prvaci"" učila...","more","[""Dva dana"", ""Nedelju dana"", ""Mesec dana"", ""Izmislila ju je""]","Izmislila ju je","https://www.youtube.com/watch?v=aj4MUJFkQwY"
"25","Da li je gužva na auto cesti?","more","[""Pa nije gužva, nego je katastrofa. Uvedite vinjete"", ""Nije gužva, možda malo kad je petak"", ""Ako ovaj narod zna gde ide i šta radi, da me j**e ceo svet"", ""Čekam sat i po...sve lopovi...sve u ku***""]","Pa nije gužva, nego je katastrofa. Uvedite vinjete","https://www.youtube.com/watch?v=NzIar7Ef_ms"
"26","Kažnjeni vozač nije vozio 211 kh/h nego...","more","[""204km/h"", ""210km/h"", ""111km/h"", ""72km/h""]","204km/h","https://www.youtube.com/watch?v=-3KA9nPfYfQ"
"27","Miroslavu Aleksiću su, pored oštečenja kartice, iz stana uzeli dvadivx filma sa...","more","[""Žan-Klod van Damom"", ""Silvesterom Staloneom"", ""Arnoldom Švarcenegerom"", ""Kristijanom Bejlom""]","Žan-Klod van Damom","https://www.youtube.com/watch?v=764-W9ZELEo"
